age   cuts  death_rate_Male  death_rate_Female
1-4	1 0.004	0.003
5-9	5 0.0002 0.0001
10-14	10 0.00009 0.00006
15-19	15 0.00004 0.00015
20-24  	20 0.00046 0.0002
25-29	25 0.0005	0.00029
30-34 30 0.000006	0.0004
35-39	35 0.001	0.00054
40-44 40 0.00151	0.001
45-49 45 0.002	0.00145
50-54 50 0.003	0.002
55-59 55 0.005	0.003
60-64 60 0.0078	0.0042
65-69 65 0.013	0.0063
70-74 70 0.0165	0.009
75-79 75 0.0238	0.0138
80-84 80 0.037	0.022
85-89 85 0.062	0.040
90-94 90 0.106	0.075
95-99 95 0.19	0.141
100-104 100 0.3081 0.254
